author_id,author_name,profile_link
219,Oddapika Siddika Kabir,https://www.wafilife.com/cat/books/author/oddapika-siddika-kabir
220,Odhikar,https://www.wafilife.com/cat/books/author/odhikar
221,Omar Haider Chowdhury,https://www.wafilife.com/cat/books/author/omar-haider-chowdhury
222,Paul Sillitoe,https://www.wafilife.com/cat/books/author/paul-sillitoe
223,Peter Dixon,https://www.wafilife.com/cat/books/author/peter-dixon
224,Pias Majid,https://www.wafilife.com/cat/books/author/pias-majid
225,Pratap Datta,https://www.wafilife.com/cat/books/author/pratap-datta
226,Pratima Paul Majumder,https://www.wafilife.com/cat/books/author/pratima-paul-majumder
227,Premachandra Wattage,https://www.wafilife.com/cat/books/author/premachandra-wattage
228,Pro. Dr. Mezbauddin Ahmed,https://www.wafilife.com/cat/books/author/pro-dr-mezbauddin-ahmed
229,Pro. Jahurul Islam,https://www.wafilife.com/cat/books/author/pro-jahurul-islam
230,Prof Abdul Barik Sarder,https://www.wafilife.com/cat/books/author/prof-abdul-barik-sarder
231,Prof K M A Bari,https://www.wafilife.com/cat/books/author/prof-k-m-a-bari
232,Prof Md. Abdul Awal,https://www.wafilife.com/cat/books/author/prof-md-abdul-awal
233,Prof. Abdul Rashid Khan,https://www.wafilife.com/cat/books/author/prof-abdul-rashid-khan
234,Prof. Dr. Kh. Mezbahuddin Ahmed,https://www.wafilife.com/cat/books/author/prof-dr-kh-mezbahuddin-ahmed
235,Prof. Dr. Md. Fazlur Rahman,https://www.wafilife.com/cat/books/author/prof-dr-md-fazlur-rahman
236,Prof. MD. Maqbul Hossain,https://www.wafilife.com/cat/books/author/prof-md-maqbul-hossain
237,Prof. Mahmoud Ismail Saleh,https://www.wafilife.com/cat/books/author/prof-mahmoud-ismail-saleh
238,Prof. Md. Golam Hossain Pramanik,https://www.wafilife.com/cat/books/author/prof-md-golam-hossain-pramanik
239,Prof. Md. Hafizur Rahman,https://www.wafilife.com/cat/books/author/prof-md-hafizur-rahman
240,Prof. Moinuddin Chowdhury,https://www.wafilife.com/cat/books/author/prof-moinuddin-chowdhury
241,Prof. Rehman Sobhan,https://www.wafilife.com/cat/books/author/prof-rehman-sobhan
242,Prof. Shah Muhammad Habibir Rahman,https://www.wafilife.com/cat/books/author/prof-shah-muhammad-habibir-rahman
243,Prof. Subodh Chandra Sinha,https://www.wafilife.com/cat/books/author/prof-subodh-chandra-sinha
244,Professor A. F. M. Abdur Rahman,https://www.wafilife.com/cat/books/author/professor-a-f-m-abdur-rahman
245,Professor Abdur Razzak,https://www.wafilife.com/cat/books/author/professor-abdur-razzak
246,Professor Ashim Kumar Saha,https://www.wafilife.com/cat/books/author/professor-ashim-kumar-saha
247,Professor Dewan Kuddus,https://www.wafilife.com/cat/books/author/professor-dewan-kuddus
248,Professor Dr. A H M Mujtaba Hossain,https://www.wafilife.com/cat/books/author/professor-dr-a-h-m-mujtaba-hossain
249,Professor Dr. Ataul Haq Pramanik,https://www.wafilife.com/cat/books/author/professor-dr-ataul-haq-pramanik
250,Professor Dr. B. M. Ikramul Haque,https://www.wafilife.com/cat/books/author/professor-dr-b-m-ikramul-haque
251,Professor Dr. Emajuddin Ahamed,https://www.wafilife.com/cat/books/author/professor-dr-emajuddin-ahamed
252,Professor Dr. Faizur Rahman,https://www.wafilife.com/cat/books/author/professor-dr-faizur-rahman
253,Professor Dr. Fozlur Rahman,https://www.wafilife.com/cat/books/author/professor-dr-fozlur-rahman
254,Professor Dr. Johirul Haque,https://www.wafilife.com/cat/books/author/professor-dr-johirul-haque
255,Professor Dr. M. Abu Misir,https://www.wafilife.com/cat/books/author/professor-dr-m-abu-misir
256,Professor Dr. M. Abul Kashem Mojumdar,https://www.wafilife.com/cat/books/author/professor-dr-m-abul-kashem-mojumdar
257,Professor Dr. Md. Fazlul Haque,https://www.wafilife.com/cat/books/author/professor-dr-md-fazlul-haque
258,Professor Dr. Mir Mahfuzul Haque,https://www.wafilife.com/cat/books/author/professor-dr-mir-mahfuzul-haque
259,Professor Haradhan Nag,https://www.wafilife.com/cat/books/author/professor-haradhan-nag
260,Professor Kazi Nurul Islam,https://www.wafilife.com/cat/books/author/professor-kazi-nurul-islam
261,Professor M Mofizar Rahman,https://www.wafilife.com/cat/books/author/professor-m-mofizar-rahman
262,Professor Mafizur Rahman,https://www.wafilife.com/cat/books/author/professor-mafizur-rahman
263,Professor Md. Elias Hossain,https://www.wafilife.com/cat/books/author/professor-md-elias-hossain
264,Professor Muhammad Nurul Haq,https://www.wafilife.com/cat/books/author/professor-muhammad-nurul-haq
265,Professor Muhammad Zulfiqar,https://www.wafilife.com/cat/books/author/muhammed-zulfiqa
266,Professor Muhamoud Esma,https://www.wafilife.com/cat/books/author/professor-muhamoud-esma
267,Qari Muhammad Idrees,https://www.wafilife.com/cat/books/author/qari-muhammad-idrees
268,Quazi Mostain Billah,https://www.wafilife.com/cat/books/author/quazi-mostain-billah
269,R. C. Paul,https://www.wafilife.com/cat/books/author/r-c-paul
270,Raana Haider,https://www.wafilife.com/cat/books/author/raana-haider
271,Rafiq Md. Jahangir Alam,https://www.wafilife.com/cat/books/author/rafiq-md-jahangir-alam
272,Ragib Noor,https://www.wafilife.com/cat/books/author/ragib-noor
273,Rahim M. Quazi,https://www.wafilife.com/cat/books/author/rahim-m-quazi
274,Rahima Karim,https://www.wafilife.com/cat/books/author/rahima-karim
275,Rahman M Mahbub,https://www.wafilife.com/cat/books/author/rahman-m-mahbub
276,Raihan Ali,https://www.wafilife.com/cat/books/author/raihan-ali
277,Raisuddin Ahmed,https://www.wafilife.com/cat/books/author/raisuddin-ahmed
278,Rajib Chatterjee,https://www.wafilife.com/cat/books/author/rajib-chatterjee
279,Rakib Mahadi,https://www.wafilife.com/cat/books/author/rakib-mahadi
280,Rakib Uddin Ahmed,https://www.wafilife.com/cat/books/author/rakib-uddin-ahmed
281,Ranabir Samaddar,https://www.wafilife.com/cat/books/author/ranabir-samaddar
282,Rashidul Hassan Bachchu,https://www.wafilife.com/cat/books/author/rashidul-hassan-bachchu
283,Raunaq Jahan,https://www.wafilife.com/cat/books/author/raunaq-jahan
284,Raymond J. Manderola,https://www.wafilife.com/cat/books/author/raymond-j-manderola
285,Rezaqul Haider,https://www.wafilife.com/cat/books/author/rezaqul-haider
286,Rezoanul Hoque Shuvo,https://www.wafilife.com/cat/books/author/rezoanul-hoque-shuvo
287,Riaz Uddin-1,https://www.wafilife.com/cat/books/author/riaz-uddin-1
288,Rick Gregory,https://www.wafilife.com/cat/books/author/rick-gregory
289,Rita Afsar (,https://www.wafilife.com/cat/books/author/rita-afsar
290,Roger Moody,https://www.wafilife.com/cat/books/author/roger-moody-author
291,Rudabeh Shahid,https://www.wafilife.com/cat/books/author/rudabeh-shahid
292,Ruhul Amin,https://www.wafilife.com/cat/books/author/ruhul-amin
293,Ruhul Amin (Golpokar),https://www.wafilife.com/cat/books/author/ruhul-amin-golpokar
294,Runa Khan,https://www.wafilife.com/cat/books/author/runa-khan
295,Rushidan Islam Rahman,https://www.wafilife.com/cat/books/author/rushidan-islam-rahman
296,S H Khan Majlish,https://www.wafilife.com/cat/books/author/s-h-khan-majlish
297,S M Belal Uddin,https://www.wafilife.com/cat/books/author/s-m-belal-uddin
298,S Q Sajedur Rahman,https://www.wafilife.com/cat/books/author/s-q-sajedur-rahman
299,S. M. Shahidul Isalm,https://www.wafilife.com/cat/books/author/s-m-shahidul-isalm
300,S. M. Zakir Hussain,https://www.wafilife.com/cat/books/author/s-m-zakir-hussain
301,S. R. Osmani,https://www.wafilife.com/cat/books/author/s-r-osmani
302,S.M. Eftekhar Uddin,https://www.wafilife.com/cat/books/author/s-m-eftekhar-uddin
303,S.M. Faisal Arafat,https://www.wafilife.com/cat/books/author/s-m-faisal-arafat
304,SAMEH STRAUCH,https://www.wafilife.com/cat/books/author/sameh-strauch
305,SM Jakirul Islam,https://www.wafilife.com/cat/books/author/sm-jakirul-islam
306,Saeed Ali al-Qahtani,https://www.wafilife.com/cat/books/author/saeed-ali-al-qahtani
307,Saad Islam,https://www.wafilife.com/cat/books/author/saad-islam
308,Saadul Quader,https://www.wafilife.com/cat/books/author/saadul-quader
